"individual","call.id","call.dur","nnotes","min5","min95","minbw","maxbw","mean5","mean95","max5","max95","meanbw","mindurnote","maxdurnote","noterate","note1dur","note1minfreq","note1maxfreq","note2dur","note2minfreq","note2maxfreq","range.bw","rest.dur","lastnotedur","lastnoteminfreq","lastnotemaxfreq","site","Site"
"MBGG6","MBGG6_77.14",1.05933769000001,2,710.596,1001.294,290.698,290.698,710.596,1001.294,710.596,1001.294,290.698,0.2449,0.2721,1.8879720969807,0.2721,710.596,1001.294,0.2449,710.596,1001.294,0,0.542337690000007,0.2449,710.596,1001.294,"MB","MB"
"MBGG6","MBGG6_77.15",1.61688391400003,3,699.829,872.095,172.266,333.765,714.184666666667,958.227666666667,742.896,1076.66,244.043333333333,0.0816,0.2993,1.85542077203197,0.0816,699.829,872.095,0.2993,699.829,925.928,161.499,1.07268391400003,0.1633,742.896,1076.66,"MB","MB"
"MBGG6","MBGG6_77.16",1.89905659100009,5,721.362,850.562,107.666,193.799,734.2824,891.4748,742.896,915.161,157.1924,0.0816,0.1905,2.63288625715302,0.0816,742.896,893.628,0.0816,732.129,904.395,86.133,1.30045659100009,0.1088,732.129,893.628,"MB","MB"
"MBGG6","MBGG6_77.17",1.42505022900002,3,710.596,904.395,193.799,236.865,724.951333333333,933.105666666667,732.129,968.994,208.154333333333,0.1361,0.3265,2.10518895330808,0.3265,732.129,925.928,0.2177,732.129,968.994,43.066,0.744750229000021,0.1361,710.596,904.395,"MB","MB"
"MBGG6","MBGG6_77.18",0.975365800000077,2,721.362,872.095,150.732,193.799,726.7455,899.0115,732.129,925.928,172.2655,0.2449,0.2721,2.05051274096328,0.2721,732.129,925.928,0.2449,721.362,872.095,43.067,0.458365800000077,0.2449,721.362,872.095,"MB","MB"
"MBGG6","MBGG6_77.19",1.27895647999992,3,710.596,839.795,129.199,204.565,746.484333333333,915.161333333333,775.195,979.761,168.676666666667,0.0816,0.1088,2.34566230119119,0.1088,753.662,925.928,0.0816,775.195,979.761,75.366,1.00695647999992,0.0816,710.596,839.795,"MB","MB"
"MBGG6","MBGG6_77.20",1.95073160000004,4,721.362,882.861,150.732,398.364,742.8955,977.06925,764.429,1119.727,234.17325,0.1088,0.1905,2.0505127409634,0.1905,732.129,882.861,0.1361,764.429,947.461,247.632,1.35203160000004,0.1633,721.362,1119.727,"MB","MB"
"MBGG6","MBGG6_77.21",1.92489409600012,5,710.596,893.628,161.499,409.131,747.2024,984.0674,775.195,1152.026,236.8652,0.0816,0.2177,2.59754550153688,0.0816,764.429,925.928,0.0816,775.195,968.994,247.632,1.29909409600012,0.1088,710.596,893.628,"MB","MB"
"MBGG7","MBGG7_78.1",0.987223559,2,820.312,960.938,140.625,363.281,832.031,1083.9845,843.75,1207.031,251.953,0.15,0.15,2.02588358205905,0.15,843.75,1207.031,0.15,820.312,960.938,222.656,0.687223559,0.15,820.312,960.938,"MB","MB"
"MBGG7","MBGG7_78.2",1.095201134,2,808.594,984.375,175.781,257.812,826.172,1042.9685,843.75,1101.562,216.7965,0.175,0.175,1.82614858395499,0.175,843.75,1101.562,0.175,808.594,984.375,82.031,0.745201134,0.175,808.594,984.375,"MB","MB"
"MBGG7","MBGG7_78.3",1.20317871100001,2,796.875,984.375,187.5,351.562,808.5935,1078.125,820.312,1171.875,269.531,0.15,0.175,1.66226345406139,0.175,820.312,1171.875,0.15,796.875,984.375,164.062,0.878178711000007,0.15,796.875,984.375,"MB","MB"
"MBGG7","MBGG7_78.4",1.83561880400001,3,796.875,1042.969,234.375,398.438,820.312666666667,1125,855.469,1253.906,304.687666666667,0.125,0.175,1.63432625197709,0.175,855.469,1253.906,0.125,808.594,1042.969,164.063,1.41061880400001,0.125,796.875,1078.125,"MB","MB"
"MBGG7","MBGG7_78.5",0.786693772999996,2,843.75,1078.125,234.375,375,843.75,1148.4375,843.75,1218.75,304.6875,0.15,0.15,2.54228528131493,0.15,843.75,1218.75,0.15,843.75,1078.125,140.625,0.486693772999996,0.15,843.75,1078.125,"MB","MB"
